run,netem,netem_spec,variant,program,program_bytes,outcome,metric,us,count
1,d100_l1,delay 100ms loss random 1%,tpu_next,token-2022,1382016,success,client_setup,801320,0
1,d100_l1,delay 100ms loss random 1%,tpu_next,token-2022,1382016,success,first_send,3,0
1,d100_l1,delay 100ms loss random 1%,tpu_next,token-2022,1382016,success,send_phase,5000627,501
1,d100_l1,delay 100ms loss random 1%,tpu_next,token-2022,1382016,success,resend_rounds,1,178
1,d100_l1,delay 100ms loss random 1%,tpu_next,token-2022,1382016,success,resent_txs,178,0
1,d100_l1,delay 100ms loss random 1%,tpu_next,token-2022,1382016,success,resend_time,1771040,0
1,d100_l1,delay 100ms loss random 1%,tpu_next,token-2022,1382016,success,confirm_phase,1771124,0
1,d100_l1,delay 100ms loss random 1%,tpu_next,token-2022,1382016,success,write_chunks,7180059,501
1,d100_l1,delay 100ms loss random 1%,tpu_next,token-2022,1382016,success,quic_sent,678,501
1,d100_l1,delay 100ms loss random 1%,tpu_next,token-2022,1382016,success,final_tx,804841,0
1,d100_l1,delay 100ms loss random 1%,tpu_next,token-2022,1382016,success,total_deploy,11694153,1382016
1,d100_l1,delay 100ms loss random 1%,baseline,token-2022,1382016,success,wall,14726546,0
1,d100_l1,delay 100ms loss random 1%,baseline,token-2022,1382016,success,client_setup,1201774,0
1,d100_l1,delay 100ms loss random 1%,baseline,token-2022,1382016,success,first_send,401348,0
1,d100_l1,delay 100ms loss random 1%,baseline,token-2022,1382016,success,send_phase,5001782,501
1,d100_l1,delay 100ms loss random 1%,baseline,token-2022,1382016,success,resend_rounds,6,138
1,d100_l1,delay 100ms loss random 1%,baseline,token-2022,1382016,success,resent_txs,233,0
1,d100_l1,delay 100ms loss random 1%,baseline,token-2022,1382016,success,resend_time,2275872,0
1,d100_l1,delay 100ms loss random 1%,baseline,token-2022,1382016,success,confirm_phase,2276264,0
1,d100_l1,delay 100ms loss random 1%,baseline,token-2022,1382016,success,write_chunks,7694017,501
1,d100_l1,delay 100ms loss random 1%,baseline,token-2022,1382016,success,final_tx,1708468,0
1,d100_l1,delay 100ms loss random 1%,baseline,token-2022,1382016,success,total_deploy,13511127,1382016
1,d100_l1,delay 100ms loss random 1%,baseline,token,108600,success,wall,10489619,0
1,d100_l1,delay 100ms loss random 1%,baseline,token,108600,success,client_setup,1201699,0
1,d100_l1,delay 100ms loss random 1%,baseline,token,108600,success,first_send,401286,0
1,d100_l1,delay 100ms loss random 1%,baseline,token,108600,success,send_phase,1071183,108
1,d100_l1,delay 100ms loss random 1%,baseline,token,108600,success,resend_rounds,17,108
